Date,Suburb,State,Postcode,Beds,Baths,Cars,Land,Type,SaleType,Median price,Price,latitude,longitude,dist_to_cbd
28/04/2025,MEADOW SPRINGS,WA,6210,4,2,2,576,House,PRIVATE TREATY,505000,725000,-32.4839665,115.7541267,59.41159809
28/04/2025,WARNBRO,WA,6169,5,2,2,704,House,PRIVATE TREATY,505000,725000,-32.3440968,115.7628043,44.02441478
28/04/2025,WELLARD,WA,6170,5,2,2,420,House,PRIVATE TREATY,505000,725000,-32.2682976,115.840704,34.69249625
29/04/2025,BALDIVIS,WA,6171,3,2,2,443,House,PRIVATE TREATY,505000,725000,-32.3171206,115.8160899,40.2751711
29/04/2025,KARNUP,WA,6176,,,,,Vacantland,PRIVATE TREATY,505000,725000,-32.4155821,115.8097554,51.19935673
30/04/2025,MAROOCHYDORE,QLD,4558,3,2,1,,Apartment/Unit/Flat,PRIOR TO AUCTION,660000,725000,-26.6528027,153.0808286,90.61278062
30/04/2025,PALM BEACH,QLD,4221,1,1,1,,Apartment/Unit/Flat,PRIVATE TREATY,660000,725000,-28.1063072,153.4618327,82.79171283
2/05/2025,CHARNWOOD,ACT,2615,3,1,2,,House,PRIVATE TREATY,980000,725000,-35.2006699,149.0279391,12.6555254
2/05/2025,PORT KENNEDY,WA,6172,3,2,2,627,House,PRIVATE TREATY,505000,725000,-32.360702,115.772331,45.65402414
4/05/2025,CLYDE NORTH,VIC,3978,4,2,2,,House,PRIVATE TREATY,550000,725000,-38.1170111,145.320758,46.00752531
5/05/2025,BALGA,WA,6061,,,,900,Vacantland,PRIVATE TREATY,505000,725000,-31.8603026,115.8365552,10.84078791
6/05/2025,STRATHALBYN,SA,5255,3,2,2,526,House,PRIVATE TREATY,495000,725000,,,
6/05/2025,CLYDE,VIC,3978,4,2,2,475,House,PRIVATE TREATY,550000,725000,-38.1215959,145.3227233,46.49705679
7/05/2025,COOLBELLUP,WA,6163,3,1,2,330,House,PRIVATE TREATY,505000,725000,-32.0861606,115.8114533,15.17183334
8/05/2025,TREVALLYN,TAS,7250,3,2,2,,House,PRIVATE TREATY,540000,725000,-41.4372997,147.1184417,161.461037
8/05/2025,TRUGANINA,VIC,3029,4,2,2,400,House,PRIVATE TREATY,550000,725000,-37.832798,144.7214906,21.37774852
9/05/2025,HORNSBY,NSW,2077,2,1,1,,Apartment/Unit/Flat,PRIVATE TREATY,645000,725000,-33.6908414,151.1028102,22.12795395
9/05/2025,MODBURY,SA,5092,3,2,1,342,House,PRIVATE TREATY,495000,725000,,,
9/05/2025,ROSEDALE,VIC,3847,,,,,Rural,PRIVATE TREATY,550000,725000,-38.1235769,146.8005672,165.0582978
9/05/2025,ALKIMOS,WA,6038,3,2,2,296,House,PRIVATE TREATY,505000,725000,-31.6269542,115.6917111,39.82630951
12/05/2025,MERRIWA,WA,6030,4,2,2,594,House,PRIVATE TREATY,505000,725000,-31.6659495,115.7108818,35.1362248
13/05/2025,ROSEWATER,SA,5013,3,1,4,687,House,PRIVATE TREATY,495000,725000,-34.8499209,138.5143345,11.68759951
13/05/2025,BALDIVIS,WA,6171,4,2,4,523,House,PRIVATE TREATY,505000,725000,-32.3419662,115.8323726,42.89363874
15/05/2025,ROCHEDALE SOUTH,QLD,4123,3,2,1,306,Townhouse,PRIVATE TREATY,670000,725000,-27.6019648,153.1280711,17.99763862
15/05/2025,SOUTHPORT,QLD,4215,2,2,1,,Apartment/Unit/Flat,PRIVATE TREATY,660000,725000,-27.960376,153.4103449,66.48977059
